,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
24807,Bilal AliNick Mosby,Bilal Ali,Nick Mosby,"[1071267, 1071381, 1071341, 1071282, 1071368, 1071402, 1071289, 1071355, 1071321, 1071336, 1071271, 1071299, 1071277, 1072321, 1072331, 1072318, 1072359, 1073069, 1073081, 1077121, 1077157, 1077134, 1077091, 1077037, 1077123, 1077130, 1077039, 1080818, 1085007, 1085046]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 4, 1, 1]",30
15656,Richard MadalenoSusan Lee,Richard Madaleno,Susan Lee,"[1053142, 1059464, 1066901, 1068450, 1071300, 1071385, 1072345, 1073039, 1073932, 1075217, 1075288, 1075265, 1077115, 1077021, 1077065, 1080871, 1080860, 1080825, 1080738, 1080749, 1080815, 1080843, 1080887, 1081820, 1081673, 1081645, 1086689]","[1, 4, 1, 4, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 4, 5, 5, 5, 4, 1, 4, 4, 1, 1, 4, 1, 1]",27
12173,Delores KelleyShirley Nathan-Pulliam,Delores Kelley,Shirley Nathan-Pulliam,"[1058992, 1059008, 1059009, 1058986, 1062483, 1065089, 1065059, 1065080, 1066859, 1069905, 1069802, 1069870, 1071265, 1071313, 1072353, 1073075, 1073089, 1073051, 1073942, 1075275, 1077100, 1077153, 1078889, 1080792, 1080884, 1080747]","[4, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 1, 1, 4]",26
21209,Nicholaus KipkeThe Speaker,Nicholaus Kipke,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1083108, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 1, 4]",25
10155,Barbara RobinsonJoan Conway,Barbara Robinson,Joan Conway,"[1058099, 1065100, 1065032, 1066911, 1069793, 1069892, 1071340, 1071365, 1071399, 1071276, 1071306, 1073082, 1073087, 1075322, 1075292, 1077042, 1077095, 1080782, 1081706, 1081643, 1086692, 1086691, 1088088, 1090865, 1090853]","[5, 1, 4, 4, 4, 1, 2, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4, 1]",25
21278,Ric MetzgarThe Speaker,Ric Metzgar,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
21208,Chris WestThe Speaker,Chris West,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
6069,Katherine KlausmeierThomas Middleton,Katherine Klausmeier,Thomas Middleton,"[1059465, 1068457, 1069903, 1071343, 1072351, 1073098, 1073085, 1073967, 1075268, 1075306, 1077097, 1077057, 1077030, 1078942, 1078895, 1078981, 1080788, 1080875, 1081688, 1089440, 1092908, 1095737, 1105449, 1106046]","[4, 2, 4, 2, 4, 1, 4, 2, 4, 4, 2, 4, 4, 1, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",24
21281,Christian MieleThe Speaker,Christian Miele,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",24
16781,Susan KrebsThe Speaker,Susan Krebs,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068429, 1069808, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4]",23
16940,Andrew SerafiniThe President,Andrew Serafini,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858, 1081787]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4]",23
15625,Brian FeldmanRichard Madaleno,Brian Feldman,Richard Madaleno,"[1036418, 1066878, 1068450, 1069792, 1071320, 1071332, 1073059, 1073039, 1075217, 1077063, 1077115, 1077021, 1077162, 1080882, 1080860, 1080825, 1080738, 1080815, 1080843, 1080887, 1080888, 1081746, 1081609]","[4, 4, 4, 2, 1, 1, 1, 4, 1, 5, 4, 4, 4, 1, 5, 5, 4, 4, 4, 1, 4, 1, 1]",23
16899,Bob CassillyThe President,Bob Cassilly,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858, 1081787]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4]",23
21226,Sid SaabThe Speaker,Sid Saab,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 4, 1, 4]",22
16892,Stephen HersheyThe President,Stephen Hershey,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",22
13952,Adelaide EckardtThe President,Adelaide Eckardt,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",22
21201,Matt MorganThe Speaker,Matt Morgan,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069930, 1069810, 1069812, 1069925, 1073957, 1080810, 1085039]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 4, 1, 4]",22
10188,Joan ConwayNathaniel Oaks,Joan Conway,Nathaniel Oaks,"[1058099, 1065100, 1066911, 1069793, 1069892, 1071340, 1071365, 1071399, 1071276, 1071306, 1073082, 1073087, 1077042, 1080845, 1080791, 1080829, 1080782, 1081706, 1081643, 1086692, 1086691, 1090853]","[5, 1, 4, 4, 1, 2, 1, 4, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1, 4, 4, 4, 1]",22
4688,Joseline Pena-MelnykKaren Young,Joseline Pena-Melnyk,Karen Young,"[1072333, 1073110, 1073929, 1075304, 1075308, 1075310, 1077135, 1080813, 1080761, 1084018, 1084006, 1084022, 1084050, 1084095, 1084064, 1085105, 1085136, 1085170, 1085189, 1097851, 1100797, 1085277]","[2, 1, 4, 4, 4, 4, 4, 1, 4, 4, 1, 2, 1, 1, 4, 1, 4, 4, 1, 4, 4, 1]",22
10091,Delores KelleyJoan Conway,Delores Kelley,Joan Conway,"[1058099, 1062483, 1065089, 1065059, 1065100, 1065080, 1065047, 1066911, 1071265, 1073089, 1073942, 1077042, 1077100, 1077153, 1080759, 1080884, 1080747, 1081775, 1081706, 1081643, 1090865, 1090853]","[5, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 4, 4, 1, 1, 1, 4, 1, 1, 4, 4, 1]",22
21214,Kevin HornbergerThe Speaker,Kevin Hornberger,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810, 1083108]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1]",22
16902,Justin ReadyThe President,Justin Ready,The President,"[1061035, 1061062, 1061045, 1068432, 1068461, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",22
16974,J.B. JenningsThe President,J.B. Jennings,The President,"[1061035, 1061062, 1061045, 1068432, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",21
5528,Jay JacobsThe Speaker,Jay Jacobs,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21219,The SpeakerWilliam Folden,The Speaker,William Folden,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21189,Jerry ClarkThe Speaker,Jerry Clark,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21270,Susan McComasThe Speaker,Susan McComas,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21196,Teresa ReillyThe Speaker,Teresa Reilly,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
16908,Edward ReillyThe President,Edward Reilly,The President,"[1061035, 1061062, 1061045, 1068432, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",21
16938,Gail BatesThe President,Gail Bates,The President,"[1061035, 1061062, 1061045, 1068432, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858]","[1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1]",21
21269,Michael MaloneThe Speaker,Michael Malone,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
18608,Kathy AfzaliThe Speaker,Kathy Afzali,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21211,Christopher AdamsThe Speaker,Christopher Adams,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
15686,Richard MadalenoRoger Manno,Richard Madaleno,Roger Manno,"[1053142, 1068450, 1073039, 1075217, 1075250, 1075240, 1075329, 1077115, 1077021, 1077162, 1080871, 1080860, 1080842, 1080815, 1080843, 1080887, 1081738, 1081583, 1081742, 1081673, 1098946]","[1, 4, 4, 1, 1, 1, 1, 4, 4, 4, 5, 5, 1, 4, 4, 1, 1, 1, 2, 4, 2]",21
12038,Johnny MautzThe Speaker,Johnny Mautz,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21243,Andrew CassillyThe Speaker,Andrew Cassilly,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21249,April RoseThe Speaker,April Rose,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
15624,Richard MadalenoWilliam Smith,Richard Madaleno,William Smith,"[1053142, 1068450, 1073039, 1075217, 1077048, 1077115, 1077021, 1080871, 1080860, 1080825, 1080815, 1080843, 1080874, 1081673, 1081645, 1081618, 1081822, 1081601, 1081839, 1081819, 1081677]","[1, 4, 4, 1, 1, 4, 4, 5, 5, 5, 4, 4, 1, 4, 1, 2, 4, 1, 1, 4, 1]",21
21258,David VogtThe Speaker,David Vogt,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21229,Kathy SzeligaThe Speaker,Kathy Szeliga,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069874, 1069930, 1069810, 1069820, 1069812, 1069917, 1069925, 1073957, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1]",21
21210,Haven ShoemakerThe Speaker,Haven Shoemaker,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
8279,Steven ArentzThe Speaker,Steven Arentz,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",21
21250,Barrie CilibertiThe Speaker,Barrie Ciliberti,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
21244,Mary CarozzaThe Speaker,Mary Carozza,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
20348,Mike MckayThe Speaker,Mike Mckay,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
11009,Carl AndertonThe Speaker,Carl Anderton,The Speaker,"[1058110, 1058102, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
21277,Glen GlassThe Speaker,Glen Glass,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
21223,Seth HowardThe Speaker,Seth Howard,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
6057,Jim MathiasThomas Middleton,Jim Mathias,Thomas Middleton,"[1036383, 1059465, 1066885, 1066910, 1068457, 1069903, 1071376, 1071373, 1071343, 1072351, 1073967, 1077030, 1080879, 1080788, 1080768, 1086699, 1089440, 1092908, 1106046, 1094140]","[4, 4, 4, 4, 2, 4, 1, 4, 2, 4, 2, 4, 4, 2, 4, 5, 4, 4, 4, 2]",20
24385,Seth HowardSid Saab,Seth Howard,Sid Saab,"[1066900, 1069817, 1080705, 1080780, 1081676, 1085250, 1085102, 1085111, 1085202, 1085044, 1084890, 1085258, 1084932, 1084991, 1085285, 1085122, 1085271, 1085221, 1101444, 1110575]","[1, 1, 1, 1, 2, 2, 1, 4, 1, 4, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1]",20
10416,Jim MathiasKatherine Klausmeier,Jim Mathias,Katherine Klausmeier,"[1036383, 1066885, 1071373, 1075256, 1075268, 1075306, 1077057, 1077106, 1078947, 1078895, 1078981, 1078914, 1080879, 1080768, 1080875, 1086699, 1086697, 1095737, 1105449, 1094140]","[4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 5, 2, 4, 4, 2]",20
12515,Brian FeldmanKatherine Klausmeier,Brian Feldman,Katherine Klausmeier,"[1036418, 1065072, 1066892, 1069792, 1071260, 1071320, 1075256, 1075268, 1075306, 1077057, 1078925, 1078908, 1078895, 1078981, 1080819, 1080739, 1080875, 1080748, 1081811, 1095737]","[4, 4, 4, 2, 2, 1, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 4, 4, 2, 4]",20
4719,Joseline Pena-MelnykMarice Morales,Joseline Pena-Melnyk,Marice Morales,"[1071279, 1071308, 1075304, 1075308, 1077135, 1080761, 1083022, 1083019, 1084006, 1084022, 1084050, 1084064, 1083973, 1085136, 1085170, 1085216, 1085090, 1089458, 1097851, 1100797]","[2, 1, 4, 4, 4, 4, 1, 1, 1, 2, 1, 4, 5, 4, 4, 1, 4, 4, 4, 4]",20
356,Jeff GhristThe Speaker,Jeff Ghrist,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]",20
10457,Brian FeldmanJim Mathias,Brian Feldman,Jim Mathias,"[1036418, 1036383, 1059466, 1065072, 1066885, 1066892, 1066858, 1071373, 1071260, 1071320, 1073059, 1077106, 1078925, 1080819, 1080879, 1080739, 1080768, 1081811, 1086699, 1094140]","[4, 4, 4, 4, 4, 4, 1, 4, 2, 1, 1, 4, 4, 1, 4, 1, 4, 2, 5, 2]",20
16081,Jason BuckelThe Speaker,Jason Buckel,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
16223,Paul CordermanThe Speaker,Paul Corderman,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",20
15938,The SpeakerTrent Kittleman,The Speaker,Trent Kittleman,"[1058110, 1058102, 1058079, 1068443, 1068456, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",19
18366,Susan LeeWilliam Smith,Susan Lee,William Smith,"[1059464, 1061026, 1061072, 1071300, 1071385, 1072345, 1075325, 1075288, 1075265, 1077048, 1077152, 1080749, 1080764, 1081820, 1081618, 1081839, 1081819, 1081677, 1081716]","[4, 1, 4, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 1, 2, 1, 4, 1, 2]",19
15117,Angela GibsonBilal Ali,Angela Gibson,Bilal Ali,"[1036254, 1069884, 1071267, 1071341, 1071368, 1071356, 1071402, 1071289, 1071355, 1071336, 1071317, 1071346, 1072331, 1072318, 1072359, 1073081, 1080818, 1083042, 1084966]","[4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1]",19
10622,George EdwardsThe President,George Edwards,The President,"[1068432, 1068438, 1068423, 1068459, 1068431, 1068435, 1068422, 1068462, 1068417, 1068416, 1068446, 1068418, 1068415, 1068453, 1068439, 1068428, 1068458, 1080858, 1081787]","[1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4]",19
7706,Charles OttoThe Speaker,Charles Otto,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068455, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069810, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",19
10135,Joan ConwayPaul Pinsky,Joan Conway,Paul Pinsky,"[1058099, 1061024, 1065100, 1065032, 1065094, 1066911, 1069860, 1073948, 1075263, 1075322, 1077042, 1080811, 1080762, 1081751, 1081643, 1083021, 1090865, 1090853, 1069818]","[5, 1, 1, 4, 2, 4, 2, 4, 1, 4, 4, 4, 4, 1, 4, 1, 4, 1, 1]",19
8423,Guy GuzzoneRichard Madaleno,Guy Guzzone,Richard Madaleno,"[1068450, 1068441, 1071324, 1073034, 1073039, 1077012, 1077115, 1077021, 1077162, 1080871, 1080860, 1080825, 1080815, 1080843, 1080887, 1080756, 1080698, 1081647, 1081673]","[4, 1, 4, 1, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 1, 4, 4, 2, 4]",19
6110,Brian FeldmanThomas Middleton,Brian Feldman,Thomas Middleton,"[1036418, 1059465, 1065072, 1066878, 1066892, 1066910, 1068457, 1069903, 1071343, 1072351, 1073059, 1073967, 1077030, 1080788, 1081811, 1081746, 1089440, 1092908, 1106046]","[4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 1, 2, 4, 2, 2, 1, 4, 4, 4]",19
26200,Michael MaloneSusan McComas,Michael Malone,Susan McComas,"[1073126, 1073135, 1073134, 1077036, 1077118, 1077172, 1077086, 1080727, 1081616, 1083061, 1084090, 1084052, 1084030, 1084986, 1084856, 1085267, 1085196, 1085212, 1081592]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",19
8089,Susan AumannThe Speaker,Susan Aumann,The Speaker,"[1058110, 1058102, 1058079, 1068443, 1068456, 1068424, 1068444, 1068427, 1068454, 1068460, 1068419, 1068429, 1069808, 1069874, 1069820, 1069812, 1069917, 1069925, 1080810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]",19
